"provincia","anio","planta","habitantes","empleo_x1000hab"
"Río Negro",2006,38364,590871,64.9278776585752
"Salta",2006,46453,1181886,39.3041291630496
"San Juan",2006,30446,676189,45.0258729438071
"Santa Cruz",2006,18444,217846,84.6653140291766
"Santa Fe",2006,102640,3199248,32.0825393967582
"Santiago del Estero",2006,41230,848196,48.6090479087381
"Tucumán",2006,67255,1439575,46.7186496014449
"Tierra del Fuego",2006,12493,118899,105.072372349641
"CABA",2007,139463,3034161,45.9642715070163
"Buenos Aires",2007,521807,14917940,34.9784889870853
"Catamarca",2007,31656,380612,83.1713135686736
"Córdoba",2007,100658,3311280,30.3985165857312
"Corrientes",2007,45118,1002416,45.0092576335573
"Chubut",2007,28506,455607,62.5670808394076
"Entre Ríos",2007,65169,1242547,52.4479154510855
"Formosa",2007,39204,532238,73.6587767126737
"Jujuy",2007,41838,670766,62.3734655602699
"La Rioja",2007,27252,334235,81.5354466169013
"Mendoza",2007,72118,1711416,42.1393746464916
"Misiones",2007,44980,1061590,42.3704066541697
"Neuquén",2007,49347,538952,91.5610295536523
"Río Negro",2007,39627,594189,66.690901379864
"Salta",2007,48492,1202753,40.3175049241199
"San Juan",2007,29876,685883,43.5584494731609
"Santa Cruz",2007,22812,221871,102.81650148059
"Santa Fe",2007,106800,3220818,33.1592781709491
"Santiago del Estero",2007,42361,856739,49.4444632496011
"Tucumán",2007,63253,1457357,43.4025430968527
"Tierra del Fuego",2007,15213,122531,124.156335947638
"Buenos Aires",2008,567405,15052177,37.6958761513368
"Catamarca",2008,35310,388416,90.9076866040534
"Córdoba",2008,106841,3340041,31.9879306870784
"Corrientes",2008,46572,1013443,45.9542371894621
"Chubut",2008,31333,460684,68.0140834064131
"Entre Ríos",2008,67561,1255787,53.7997287756602
"Formosa",2008,35699,539883,66.1235860362338
"Jujuy",2008,45146,679975,66.3936174124049
"La Rioja",2008,28152,341207,82.5070997957252
"Mendoza",2008,74505,1729660,43.074939583502
"Misiones",2008,50853,1077987,47.1740382768994
"Neuquén",2008,53092,547742,96.9288460625623
"Río Negro",2008,40948,597476,68.5349704423274
"Salta",2008,51757,1224022,42.2843707057553
"San Juan",2008,29252,695640,42.050485883503
"Santa Cruz",2008,23903,225920,105.802939093484
"Santa Fe",2008,108564,3242551,33.4810462503134
"Santiago del Estero",2008,43948,865546,50.7748866033694
"Tucumán",2008,66608,1475384,45.1462127825705
"Tierra del Fuego",2008,15326,126212,121.430608816911
"Buenos Aires",2009,583073,15185336,38.3971088950551
"Catamarca",2009,35248,396303,88.9420468681791
"Córdoba",2009,108468,3368609,32.1996408606639
"Corrientes",2009,53680,1024575,52.39245540834
"Chaco",2009,54738,1061638,51.5599479295202
"Chubut",2009,34869,465750,74.866344605475
"Entre Ríos",2009,68595,1268979,54.0552680540813
"Formosa",2009,35920,547726,65.580235373161
"Jujuy",2009,47585,689231,69.0407134908325
"La Rioja",2009,29221,348251,83.9078710470322
"Mendoza",2009,76698,1747801,43.882570155298
"Misiones",2009,48709,1094636,44.4978970178215
"Neuquén",2009,54118,556528,97.2421872753931
"Río Negro",2009,41423,600688,68.9592600484777
"Salta",2009,56367,1245573,45.2538711099229
"San Juan",2009,30376,705378,43.0634354913252
"Santa Cruz",2009,24885,230005,108.193300145649
"Santa Fe",2009,108635,3264095,33.2818131825207
"Santiago del Estero",2009,43977,874519,50.287072093345
"Tucumán",2009,69766,1493488,46.7134653910845
"Tierra del Fuego",2009,15487,129929,119.195868512803
"Buenos Aires",2010,618815,15716942,39.3724809826237
"Catamarca",2010,36412,377676,96.4106800538027
"Córdoba",2010,112924,3373025,33.4785541168536
"Corrientes",2010,51028,1017731,50.1389856455193
"Chaco",2010,57513,1080017,53.2519395528033
"Chubut",2010,36660,513433,71.4017213541007
"Entre Ríos",2010,68933,1255574,54.9015828617031
"Formosa",2010,36237,551626,65.6912473306189
"Jujuy",2010,50536,683513,73.9356822767087
"La Rioja",2010,29081,342582,84.8877057171714
"Mendoza",2010,79644,1774737,44.8765084629441
"Misiones",2010,50494,1113279,45.3561057021645
"Neuquén",2010,53806,571910,94.0812365581997
"Río Negro",2010,43687,648277,67.3894029866862
"Salta",2010,57171,1239111,46.1387236494551
"San Juan",2010,31243,696076,44.8844666387004
"Santa Cruz",2010,25395,275452,92.1939212639589
