"provincia","estrato","rv"
"Córdoba","core",0.5448
"Córdoba","core",0.3772
"Córdoba","core",0.3784
"Córdoba","core",0.4912
"Córdoba","core",0.4597
"Córdoba","core",0.4588
"Córdoba","core",0.2171
"Córdoba","core",0.4839
"Córdoba","core",0.2783
"Córdoba","core",0.3842
"Córdoba","core",0.1883
"Córdoba","core",0.4701
"Córdoba","core",0.3457
"Córdoba","core",0.3499
"Córdoba","core",0.4729
"Córdoba","core",0.4205
"Córdoba","core",0.3169
"Córdoba","core",0.5787
"Córdoba","core",0.4805
"Córdoba","core",0.391
"Córdoba","core",0.407
"Córdoba","core",0.255
"Córdoba","core",0.3325
"Córdoba","core",0.3568
"Córdoba","core",0.2481
"Córdoba","core",0.2008
"Córdoba","core",0.3655
"Córdoba","core",0.621
"Córdoba","core",0.1584
"Córdoba","core",0.3635
"Córdoba","core",0.3601
"Córdoba","core",0.3407
"Córdoba","core",0.2867
"Córdoba","core",0.5252
"Córdoba","core",0.2381
"Córdoba","core",0.4929
"Córdoba","core",0.2231
"Córdoba","core",0.4874
"Córdoba","core",0.4712
"Córdoba","core",0.4744
"Córdoba","core",0.4101
"Córdoba","core",0.4326
"Córdoba","core",0.4643
"Córdoba","core",0.6179
"Córdoba","core",0.4208
"Córdoba","core",0.3299
"Córdoba","core",0.2502
"Córdoba","core",0.2242
"Córdoba","core",0.3644
"Córdoba","core",0.4938
"Córdoba","core",0.3195
"Córdoba","core",0.4738
"Córdoba","core",0.4297
"Córdoba","core",0.5054
"Córdoba","core",0.2897
"Córdoba","core",0.4801
"Córdoba","core",0.4975
"Córdoba","core",0.5608
"Córdoba","core",0.3147
"Córdoba","core",0.2938
"Córdoba","core",0.531
"Córdoba","core",0.4102
"Córdoba","core",0.2658
"Córdoba","core",0.4567
"Córdoba","core",0.4902
"Córdoba","core",0.4992
"Córdoba","core",0.3392
"Córdoba","core",0.3546
"Córdoba","core",0.2542
"Córdoba","core",0.1598
"Córdoba","core",0.4855
"Córdoba","core",0.4306
"Santa Fe","core",0.5893
"Santa Fe","core",0.5671
"Santa Fe","core",0.6791
"Santa Fe","core",0.6283
"Santa Fe","core",0.4409
"Santa Fe","core",0.4283
"Santa Fe","core",0.4781
"Santa Fe","core",0.5274
"Santa Fe","core",0.5098
"Santa Fe","core",0.4735
"Santa Fe","core",0.4316
"Santa Fe","core",0.4483
"Santa Fe","core",0.491
"Santa Fe","core",0.4997
"Santa Fe","core",0.4426
"Santa Fe","core",0.4729
"Santa Fe","core",0.6427
"Santa Fe","core",0.4187
"Santa Fe","core",0.2263
"Santa Fe","core",0.5284
"Santa Fe","core",0.2631
"Santa Fe","core",0.6358
"Santa Fe","core",0.4375
"Santa Fe","core",0.4027
"Santa Fe","core",0.18
"Santa Fe","core",0.556
"Santa Fe","core",0.3965
"Santa Fe","core",0.4901
"Santa Fe","core",0.5556
"Santa Fe","core",0.3529
"Santa Fe","core",0.3604
"Santa Fe","core",0.4661
"Santa Fe","core",0.4826
"Santa Fe","core",0.5139
"Santa Fe","core",0.4095
"Santa Fe","core",0.47
"Santa Fe","core",0.4651
"Santa Fe","core",0.5256
"Santa Fe","core",0.5884
"Santa Fe","core",0.4859
"Santa Fe","core",0.4919
"Santa Fe","core",0.4999
"Santa Fe","core",0.3126
"Santa Fe","core",0.5147
"Santa Fe","core",0.3999
"Santa Fe","core",0.3613
"Santa Fe","core",0.5405
"Santa Fe","core",0.4074
"Santa Fe","core",0.5763
"Santa Fe","core",0.5556
"Santa Fe","core",0.5041
"Santa Fe","core",0.5685
"Santa Fe","core",0.5994
"Santa Fe","core",0.4695
"Santa Fe","core",0.3796
"Santa Fe","core",0.5477
"Santa Fe","core",0.2419
"Santa Fe","core",0.4406
"Santa Fe","core",0.6714
"Santa Fe","core",0.2923
"Santa Fe","core",0.3748
"Santa Fe","core",0.5275
"Santa Fe","core",0.5114
"Santa Fe","core",0.3221
"Santa Fe","core",0.3601
"Santa Fe","core",0.3967
"Santa Fe","core",0.6566
"Santa Fe","core",0.4133
"Santa Fe","core",0.262
"Santa Fe","core",0.4166
"Santa Fe","core",0.4786
"Santa Fe","core",0.3476
"Santa Fe","core",0.3982
"Santa Fe","core",0.3672
"Santa Fe","core",0.5872
